Date,Game Mode,Match Mode,Turns,Duration,Victory Type,Local Outcome,Plains,Forests,Dungeons,Mountains,Settlements,Swamps,StoneCircles,P1 Steam ID,P1 Init Type,P1 End Type,P1 Hero,P1 Hero Skin,P1 Dice Skin,P1 Amulet,P1 Ring,P1 Fight,P1 Health,P1 Body,P1 Wits,P1 Spirit,P1 Gold,P1 Magic,P1 Prestige,P1 Rot,P2 Steam ID,P2 Init Type,P2 End Type,P2 Hero,P2 Hero Skin,P2 Dice Skin,P2 Amulet,P2 Ring,P2 Fight,P2 Health,P2 Body,P2 Wits,P2 Spirit,P2 Gold,P2 Magic,P2 Prestige,P2 Rot,P3 Steam ID,P3 Init Type,P3 End Type,P3 Hero,P3 Hero Skin,P3 Dice Skin,P3 Amulet,P3 Ring,P3 Fight,P3 Health,P3 Body,P3 Wits,P3 Spirit,P3 Gold,P3 Magic,P3 Prestige,P3 Rot,P4 Steam ID,P4 Init Type,P4 End Type,P4 Hero,P4 Hero Skin,P4 Dice Skin,P4 Amulet,P4 Ring,P4 Fight,P4 Health,P4 Body,P4 Wits,P4 Spirit,P4 Gold,P4 Magic,P4 Prestige,P4 Rot
2020-04-17 22:05:26,FuryFriday,Public,12,38.59,DefeatKing,Won,17,14,7,7,4,6,5,B6FF4EE21A827A63,Remote,Remote,Thane,Classic,Cinderstone Dice,Think,Celestite,5 5 6 6 6 6 6 6 7 7 7 7,5 5 5 5 5 3 6 5 5 6 6 5,5 5 5 5 6 6 6 6 6 6 6 7,4 4 4 4 4 4 4 4 4 4 4 4,3 4 4 4 4 4 4 4 4 4 4 4,4 0 0 0 2 2 1 1 2 2 6 9,3 1 3 1 3 0 2 3 5 2 4 2,0 0 1 1 2 4 4 4 5 7 8 10,0 0 0 0 0 0 0 0 0 0 0 0,72C80C4E8F492DB8,Remote,Remote,Amber,Classic,Heart's Fire Dice,Grow,Sunstone,3 3 3 3 3 3 3 3 3 3 3 3,5 5 5 5 5 5 5 5 5 5 5 5,5 5 5 5 5 5 5 5 5 5 5 5,4 4 4 4 4 4 4 4 4 4 4 4,4 4 4 4 4 4 4 4 4 4 4 4,9 9 8 8 9 9 10 10 11 11 12 12,4 4 4 4 4 4 4 4 4 4 4 4,0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0,24E8AE71AA7B8220,Remote,Remote,Ghor,Classic,Smog Shroud Dice,Scratch,Taaffeite,4 5 5 5 5 5 5 5 5 5 5 5,6 6 6 6 6 6 6 5 7 7 7 7,6 6 6 6 6 6 6 6 7 7 7 7,3 3 3 3 3 3 4 4 4 4 4 4,5 4 5 4 5 4 5 4 4 5 4 5,3 6 6 5 7 7 8 7 7 9 10 10,2 3 3 2 1 5 5 2 2 1 1 2,0 1 1 1 1 2 3 3 2 2 2 3,0 0 0 0 0 0 1 1 1 1 1 1,01599D9DB208B11A,Local,Local,Mercurio,Mustachio,Cinderstone Dice,Scratch,Turquoise,5 5 5 6 6 6 6 6 6 6 6 6,5 3 2 2 3 3 4 4 6 6 6 3,5 5 5 5 5 5 6 6 6 6 6 6,5 5 5 5 5 5 5 5 5 5 5 5,2 3 3 3 3 3 3 3 3 4 4 4,6 6 5 3 5 0 3 5 9 11 10 11,2 2 2 3 0 0 0 3 1 8 5 6,0 1 1 1 1 2 3 3 3 4 3 0,0 0 0 0 0 0 0 0 0 0 0 1
2020-04-17 19:17:18,FuryFriday,Public,12.25,50.13,BanishKing,Lost,19,12,5,7,6,6,5,86C92E2AB0726B30,Remote,Remote,Volodar,Classic,Wickedweave Dice,Ruin,Sulfur,3 3 3 3 3 3 3 3 3 3 3 3 3,4 4 4 4 3 4 5 5 5 2 1 1 1,4 4 4 4 5 5 5 5 5 5 5 6 6,4 4 4 4 4 4 4 4 4 4 4 4 4,5 5 7 6 6 6 6 7 8 8 8 8 8,5 5 5 7 8 9 10 1 1 1 3 0 1,5 5 0 7 0 6 1 5 4 3 3 8 8,0 0 0 1 2 1 1 1 1 1 0 1 1,1 2 1 1 3 4 5 5 0 0 0 0 0,247AFB9CE3E62AD6,Remote,Remote,Fang,Classic,Blightfire Dice,Spoil,Celestite,6 7 7 7 7 7 7 7 7 8 8 8 8,5 4 1 3 6 6 5 5 3 3 4 4 3,5 5 5 6 6 6 6 6 6 6 6 6 6,3 3 3 3 3 4 4 4 4 3 4 4 4,2 2 2 2 2 2 2 2 2 2 2 2 2,3 3 3 3 3 1 2 5 6 5 11 11 14,0 2 2 2 2 2 2 2 2 2 2 2 2,0 1 0 0 0 1 0 2 1 2 6 7 7,4 8 8 9 9 11 11 11 11 11 13 13 13,17743B10A3842E3B,Remote,Remote,Zosha,Classic,Rosegold Dice,Soak,Ruby,5 5 5 6 6 6 6 6 6 6 6 6 6,5 5 5 5 5 4 5 5 5 1 6 6 6,5 5 5 5 5 5 5 5 5 5 6 6 6,4 4 4 4 4 4 4 4 4 4 4 4 4,3 4 4 4 4 4 5 5 5 5 5 5 5,4 4 3 2 4 2 3 0 1 1 2 2 6,1 3 0 2 2 2 1 0 0 2 2 2 2,0 2 2 4 4 5 6 7 7 7 8 9 9,0 0 0 0 0 0 0 0 0 0 0 0 0,01599D9DB208B11A,Local,Local,Scarlet,Classic,Sapphire Shroud Dice,Ruin,Black Opal,4 4 4 4 4 4 4 4 4 4 5 5 5,2 2 5 5 4 5 4 5 5 3 2 2 1,5 5 5 5 5 5 5 5 5 5 5 5 5,4 4 4 4 4 4 5 5 5 5 5 5 5,3 3 3 3 4 4 4 4 4 4 4 4 4,4 2 3 4 5 2 7 4 3 4 5 6 7,3 2 0 3 3 0 0 4 2 3 4 4 4,0 1 0 0 1 1 2 1 1 0 0 0 0,0 0 0 1 1 2 4 4 4 5 5 6 6
2020-04-15 20:13:52,StrangerGames,Public,8.25,81.54,Rot,Won,17,14,5,5,6,8,5,,Remote,AI,Thane,Classic,Morning Star Dice,Spoil,Chrysocolla,5 6 6 6 6 6 6 6 6 6 6,5 5 4 5 6 5 6 5 6 6 6,6 6 6 6 6 6 6 6 6 6 6,4 4 5 5 5 5 5 5 5 5 5,3 3 3 3 3 3 3 3 3 3 3,2 1 0 0 7 7 1 0 1 1 4,0 3 3 3 3 1 1 3 4 3 3,0 2 3 2 6 6 9 9 8 8 7,4 4 4 4 4 4 4 4 5 5 5,7DDF1A751258EE6D,Remote,Remote,Scarlet,Classic,Bandit Clan Dice,Sprint,Celestite,4 4 4 6 4 5 5 5 5 5 5,6 6 5 4 6 6 5 4 3 4 1,6 6 6 6 6 6 6 6 6 6 6,5 5 5 7 7 6 7 6 7 6 7,4 4 4 5 4 5 4 6 5 6 5,7 4 8 6 8 4 0 0 2 1 1,3 4 4 4 4 2 2 5 0 2 0,1 0 1 3 3 4 3 4 9 10 11,3 3 4 4 4 4 5 6 6 9 9,01599D9DB208B11A,Local,Local,Volodar,Classic,Dancing Dragon Dice,Think,Sulfur,3 3 4 4 4 5 5 5 5 5 5,5 5 5 6 6 3 6 6 3 7 7,5 5 5 6 6 6 6 6 7 7 7,6 6 6 6 6 6 6 6 6 6 6,5 5 5 5 5 5 5 5 5 5 5,5 5 3 0 2 1 1 1 0 6 7,1 5 5 0 0 0 0 1 1 5 3,1 1 1 2 2 3 2 2 3 3 0,1 1 1 1 1 5 5 5 8 9 10,FF60BF4C99006F23,Remote,Remote,Mercurio,Classic,Ancients' Gambit Dice,Sprint,Black Opal,4 4 5 5 5 5 5 5 5 5 5,6 8 5 4 6 6 4 4 3 4 5,6 8 6 6 6 6 7 7 7 7 7,6 6 6 6 7 7 7 7 7 7 7,2 2 2 2 2 2 2 2 2 2 2,4 0 6 8 6 3 2 2 2 0 4,2 0 0 1 1 2 2 2 2 0 0,0 0 0 3 1 1 0 0 1 3 4,1 1 2 2 2 2 3 3 3 3 4
2020-04-10 23:32:53,FuryFriday,Public,14,62,Prestige,Lost,19,13,6,6,6,6,4,862A4C6C5010E9BB,Remote,Remote,Sargon,Veil Lord,Heart's Fire Dice,Scratch,Ruby,4 6 4 4 4 4 4 4 4 4 4 4 4 5 5,3 4 3 3 1 3 4 4 4 5 5 4 3 4 4,4 4 4 4 4 4 4 4 4 5 5 5 7 5 5,5 4 5 5 5 5 5 5 5 5 5 5 5 4 4,6 4 5 5 5 5 5 5 5 5 5 5 6 6 6,4 2 0 0 1 1 2 0 0 6 4 4 3 2 2,1 0 0 0 0 1 0 3 0 5 3 5 3 7 7,0 1 2 3 3 3 2 3 4 8 6 6 5 4 4,0 0 0 0 1 1 2 1 1 1 2 2 2 3 3,01599D9DB208B11A,Local,Local,Nazar,Classic,Pride's Destiny,Think,Sulfur,4 5 5 5 5 5 6 6 6 6 6 6 6 6 6,4 4 4 4 7 5 5 4 5 6 6 6 3 6 6,4 4 4 4 7 5 5 5 5 6 6 6 6 6 6,5 5 5 5 5 5 5 5 5 5 5 5 5 5 5,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,1 1 0 2 6 8 12 15 12 14 15 17 19 19 19,3 4 3 4 1 1 1 2 2 9 9 4 3 4 4,0 1 2 1 2 2 5 6 5 6 3 3 4 3 3,0 0 1 1 1 1 1 1 1 1 1 1 1 2 2,D91AE18380805A8B,Remote,Remote,Amber,Classic,Pridesong Dice,Feel,Pink Topaz,3 3 3 5 3 3 3 3 3 3 3 3 3 3 3,5 5 4 5 5 5 5 4 5 5 5 5 4 4 4,5 5 5 5 5 5 5 5 5 5 5 5 5 5 5,4 4 4 3 4 5 4 5 5 5 5 5 5 5 5,5 5 6 6 6 6 6 6 6 6 6 6 7 7 7,7 6 11 9 9 9 7 5 9 5 9 9 12 3 3,1 4 1 0 0 2 0 1 1 0 1 1 1 2 2,0 0 1 1 1 1 1 2 1 1 0 0 1 4 4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,D34D3E244CD1DD32,Remote,Remote,Magna,Classic,Early Access Dice,Scratch,Onyx,6 6 6 7 7 7 7 8 7 7 7 7 7 7 7,6 6 4 1 6 6 6 6 5 2 6 6 5 2 2,6 6 6 6 6 6 6 6 6 6 6 6 6 7 7,3 3 3 3 3 3 3 2 3 3 3 3 3 3 3,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,1 1 0 2 1 0 3 0 4 0 6 10 12 12 12,2 0 0 2 2 2 2 2 2 3 3 2 2 2 2,0 1 1 1 1 0 0 2 3 3 0 0 0 3 3,0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
2020-04-10 16:57:34,FuryFriday,Public,14,55.16,Prestige,Lost,20,14,5,5,6,5,5,83147DC475D3B2B7,Remote,Remote,Hargrave,Classic,Secret Fortune Dice,Soak,Emerald,5 5 5 6 6 6 6 6 6 6 6 6 6 6 6,6 6 6 6 2 5 3 5 6 6 6 7 7 6 6,6 6 6 6 6 6 6 6 6 6 6 7 7 7 7,4 4 4 4 4 4 5 5 5 5 5 5 5 5 5,2 3 3 3 3 3 3 3 3 3 3 3 3 3 3,6 5 5 1 0 0 0 4 6 7 12 13 5 6 6,0 2 2 3 3 3 0 1 1 1 3 3 1 2 2,0 1 1 2 3 4 4 5 5 5 4 5 9 12 12,0 0 1 1 1 2 2 2 4 5 6 6 6 8 8,01599D9DB208B11A,Local,Local,Ghor,The Mighty,Strange Dice,Think,Jade,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,5 6 5 5 4 4 6 6 6 6 6 6 6 6 6,6 6 6 6 6 6 6 6 6 6 6 6 6 6 6,4 4 4 4 4 4 4 4 5 5 5 5 5 5 5,4 4 4 5 5 5 5 5 5 6 7 7 7 7 7,5 4 5 0 1 1 1 1 4 4 1 1 2 2 2,4 5 3 2 3 3 6 2 0 0 0 0 0 7 7,0 0 0 2 2 3 2 2 2 3 3 4 4 4 4,0 1 1 1 1 1 1 1 1 1 1 0 0 0 0,D148A1D5BA886A3E,Remote,Remote,Brun,Classic,Cinderstone Dice,Feel,Taaffeite,4 4 5 4 4 4 4 5 4 4 5 5 4 4 4,6 6 6 6 6 6 6 6 6 6 5 5 5 6 6,6 6 6 6 6 6 6 6 6 6 6 6 6 6 6,3 4 4 4 4 4 4 4 4 4 6 4 4 5 5,5 4 6 6 5 6 5 5 5 5 5 5 5 6 6,5 4 6 6 9 6 4 2 5 5 5 9 7 7 7,4 3 0 6 6 2 2 2 0 2 0 3 0 2 2,0 2 1 1 1 1 1 1 0 0 0 0 0 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 1 1,8D976A2AF16C7130,Remote,Remote,Magna,Classic,Houndsclaw Dice,Think,Celestite,5 6 6 7 6 7 7 7 7 7 7 9 7 7 7,6 4 1 2 7 7 6 6 6 7 7 5 5 8 8,6 6 6 6 7 7 7 7 7 7 7 8 8 8 8,4 4 4 3 4 4 4 4 4 4 4 4 5 5 5,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,2 0 3 1 2 2 1 0 2 3 4 5 3 3 3,2 0 0 7 2 1 1 2 2 0 0 0 0 2 2,0 1 3 3 0 1 2 2 0 0 3 5 5 4 4,0 0 1 0 1 1 1 0 0 0 0 0 0 0 0
2020-04-08 22:26:29,StrangerGames,Public,10.5,62.56,Prestige,Won,18,14,6,5,4,7,6,9E1D9164E7111EB3,Remote,Remote,Magna,Classic,Bloodstone Fire Dice,Resist,Celestite,5 6 6 6 6 6 6 6 6 6 6,6 8 6 4 7 5 6 7 6 5 5,7 9 7 7 7 7 7 7 8 8 8,4 4 4 4 4 4 5 5 5 5 5,2 2 2 2 2 2 2 2 2 2 2,1 1 1 1 0 0 1 4 9 9 7,2 0 0 1 1 2 2 0 0 2 2,1 1 0 1 0 2 3 3 5 6 7,1 1 1 1 1 1 1 1 2 2 2,32056ECC827B1019,Remote,Remote,Zosha,Classic,Morning Star Dice,Favour,Black Opal,5 5 6 6 6 6 6 6 7 7 7,4 5 3 5 4 4 3 3 6 6 6,5 5 5 5 5 6 6 6 6 6 6,5 5 5 5 5 5 5 5 5 5 5,3 3 3 3 3 3 3 3 3 4 4,5 2 0 0 1 6 2 0 0 0 2,2 6 6 3 2 1 1 3 3 3 3,2 4 5 4 4 5 5 5 5 6 3,2 4 5 6 6 8 8 8 12 14 14,01599D9DB208B11A,Local,Local,Twiss,Classic,Riverine Current Dice,Scratch,Amethyst,4 4 5 5 5 5 5 5 6 6 6,4 3 4 4 4 2 6 6 3 3 2,5 5 5 5 6 6 6 6 6 6 6,6 7 7 7 7 7 7 7 7 7 7,6 4 5 5 5 5 7 5 5 5 5,1 1 3 2 9 9 12 7 9 6 8,1 3 5 4 0 5 3 7 0 9 11,0 1 2 2 6 6 5 5 7 8 8,1 1 1 1 1 0 0 0 1 1 1,CCB790459CBD783B,Remote,Remote,Scarlet,Classic,Trusty Dice,Feel,Celestite,4 5 5 5 5 5 5 5 5 5 5,6 6 6 6 2 4 2 6 5 5 4,6 6 6 6 6 6 6 6 6 6 6,5 5 5 5 5 5 5 5 5 5 5,4 4 4 4 4 5 5 5 5 5 5,5 0 0 2 1 3 4 6 8 10 12,0 4 4 0 0 4 4 2 2 0 0,0 1 0 0 0 2 0 0 1 1 1,1 1 1 1 1 3 3 3 5 7 7
2020-04-03 22:03:40,FuryFriday,Public,8.5,30.94,BanishKing,Lost,17,14,4,5,5,8,7,966D90B0363A02F5,Remote,Remote,Scarlet,Classic,Summer Solstice Dice,Favour,Pink Topaz,4 4 4 4 4 4 4 4 4,7 5 5 2 5 5 3 3 2,7 5 5 5 5 5 5 5 5,4 6 6 8 6 6 6 6 6,3 3 3 3 3 3 3 3 3,5 4 2 2 0 0 3 3 4,2 3 0 0 1 5 0 0 0,2 3 4 5 3 3 3 3 3,0 0 0 0 1 1 1 1 1,4DC487B426B6D35F,Remote,Remote,Yordana,Classic,Secret Fortune Dice,Feel,Jade,2 2 2 2 2 2 2 2 2,5 5 6 5 7 3 4 4 4,5 5 6 5 7 7 6 6 6,4 5 5 5 5 5 5 5 5,6 6 6 6 6 6 6 6 6,8 6 1 0 1 0 2 2 4,5 5 2 5 5 0 0 6 6,0 1 2 2 4 4 4 4 4,0 0 0 0 0 0 0 0 0,01599D9DB208B11A,Local,Local,Ghor,The Mighty,Pride's Destiny,Think,Taaffeite,3 4 4 4 4 4 4 4 4,6 6 5 6 5 5 6 5 5,6 6 5 6 5 5 6 6 6,4 4 4 4 4 4 4 4 4,5 4 4 5 4 4 4 4 4,4 4 5 3 4 0 1 1 2,2 2 0 4 2 3 3 1 1,0 1 1 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,9FB77606A16AE963,Remote,Remote,River,Classic,Bloodstone Fire Dice,Scratch,Celestite,5 5 5 5 5 5 6 5 5,5 4 4 3 5 2 5 5 4,5 5 5 5 5 5 5 5 5,4 5 5 5 5 5 4 5 5,3 3 3 3 3 3 3 3 3,2 1 0 0 1 1 1 1 4,1 3 1 0 0 3 2 2 2,0 1 1 3 3 3 2 2 2,0 0 0 0 0 0 1 1 1
2020-04-01 19:42:36,StrangerGames,Public,9,57.94,DefeatKing,Won,20,14,6,4,6,4,6,A647EBF58DDE2152,Remote,Remote,Zosha,Classic,Crimson Bleed Dice,Watch,Ruby,5 6 5 6 6 6 6 6 6 6 6,4 2 1 1 4 4 3 2 1 4 3,4 4 4 4 4 4 4 4 4 4 4,4 4 5 5 5 6 6 6 6 6 6,3 3 3 3 3 3 3 3 3 3 3,7 3 1 1 1 7 0 3 8 5 7,4 3 3 3 4 3 3 3 2 0 0,0 1 0 0 1 2 7 7 1 0 0,1 1 1 1 1 1 1 1 2 2 2,,Remote,AI,Fang,Classic,Rotlock Dice,Spoil,Celestite,6 6 6 7 7 7 7 7 7 8 8,3 3 3 1 4 5 4 6 6 6 5,5 5 5 5 5 5 5 6 6 6 6,3 4 4 4 5 4 4 4 4 4 4,2 2 2 3 2 3 3 2 3 2 2,3 3 4 2 4 4 5 5 7 7 8,2 2 2 1 1 2 4 0 0 3 3,0 1 1 2 2 2 2 2 3 3 6,3 3 3 3 3 3 3 3 3 0 0,091D51BA55EC6CEA,Remote,Remote,Elyssia,Classic,Jester's Ruse Dice,Soak,Spinel,3 3 4 4 4 4 4 4 4 5 5,6 5 6 6 5 6 6 5 3 1 6,6 6 6 6 6 6 6 6 6 6 6,5 5 5 5 5 5 5 5 5 5 5,3 3 3 6 4 4 4 4 4 4 4,6 3 7 7 9 9 9 6 10 10 16,3 3 0 0 0 4 0 0 0 0 0,0 0 2 3 3 2 1 1 1 3 3,1 0 4 4 6 7 7 7 7 8 8,01599D9DB208B11A,Local,Local,Mercurio,Mustachio,Green Dice,Feel,Black Opal,4 4 4 6 4 5 5 5 5 5 6,5 5 3 4 4 2 3 5 6 8 7,5 5 5 6 6 6 7 7 7 9 9,5 5 5 4 5 5 5 5 5 5 4,3 4 4 4 4 4 4 4 4 6 6,9 6 0 0 1 1 3 3 7 8 11,3 2 1 2 2 4 0 4 2 2 2,0 0 1 4 4 7 5 5 7 11 0,0 0 0 0 0 0 0 0 0 0 0
2020-03-27 23:21:32,FuryFriday,Public,13.5,59.96,Prestige,Lost,15,15,6,8,5,6,5,D7CBE19CC79A6B15,Remote,Remote,Zosha,Night Sister,Morning Star Dice,Think,Black Opal,5 5 5 5 5 5 5 5 5 5 5 5 6 6,4 2 4 4 4 4 4 4 4 4 4 4 3 4,4 4 4 4 4 4 4 4 4 4 4 4 4 4,6 5 7 6 7 6 7 6 7 6 7 6 7 6,3 4 3 4 3 4 3 4 3 4 3 4 3 4,1 0 0 0 0 3 4 1 2 1 3 3 4 1,3 0 0 2 2 4 3 3 0 5 1 9 0 1,0 0 0 0 0 0 0 0 0 2 0 0 0 0,0 0 0 0 1 1 1 1 1 5 6 6 8 8,774E682C5BFF7556,Remote,Remote,Twiss,Classic,Magenta Mottle Dice,Think,Black Opal,3 3 3 4 3 3 3 3 3 3 3 3 3 3,4 4 4 4 3 2 5 5 4 5 4 2 1 3,4 4 4 5 5 6 5 6 6 5 5 5 5 5,6 7 7 7 7 7 7 7 7 8 7 7 7 7,4 4 5 4 5 4 5 4 4 4 5 6 6 6,3 3 1 3 3 6 9 10 13 15 16 18 10 10,5 0 0 2 2 4 5 7 6 1 1 0 0 4,0 2 2 4 4 4 3 3 3 2 2 3 6 6,0 0 0 1 1 1 1 1 1 1 1 1 0 0,0FED9C3C5C66B1FA,Remote,Remote,Sana,Classic,Dark Venom Dice,Think,Jade,2 2 2 2 4 2 2 2 2 2 2 2 3 3,5 5 6 6 5 1 5 5 5 6 7 7 5 5,6 6 6 6 6 6 6 6 8 7 7 7 7 7,4 5 5 5 4 5 5 5 5 5 5 5 5 5,5 5 5 5 5 5 5 5 5 5 5 7 5 5,2 2 6 4 4 3 5 5 5 5 5 5 8 10,5 1 2 2 0 5 2 4 1 2 0 1 1 3,0 1 3 2 2 3 2 2 2 3 3 3 3 5,0 1 1 2 2 2 4 4 4 5 5 5 5 5,01599D9DB208B11A,Local,Local,Volodar,Classic,Willow's Grace Dice,Think,Sulfur,3 3 3 3 3 4 3 3 3 3 5 3 3 3,4 4 4 3 4 4 5 5 5 5 5 5 1 6,4 4 4 4 4 5 5 5 5 6 6 6 6 6,5 6 6 6 6 5 6 6 6 6 5 6 6 6,5 5 5 5 5 5 6 6 6 6 6 6 6 6,6 0 1 1 2 0 1 1 0 0 0 0 1 1,0 5 7 0 0 5 2 3 0 6 2 3 1 6,0 0 0 0 0 1 2 2 2 3 4 4 3 2,0 0 0 2 4 4 0 0 0 0 0 0 0 0
2020-03-25 22:51:12,StrangerGames,Public,10,51.65,Rot,Lost,14,16,5,8,5,6,6,C1F71BF851FAD421,Remote,Remote,Sana,Classic,Jade Smoke Dice,Feel,Quartz,2 2 2 2 2 2 2 2 3 4,8 3 9 11 7 7 7 9 7 8,9 9 9 11 9 9 9 10 10 10,3 3 4 4 4 4 4 4 3 3,6 6 6 8 7 7 7 7 7 7,0 1 2 2 0 0 0 0 1 1,6 1 3 0 0 1 1 3 1 2,0 1 2 2 3 3 3 4 4 4,5 5 5 5 5 5 4 4 3 3,1FBB9BCFB464983E,Remote,Remote,Nazar,Classic,Morning Star Dice,Intimidate,Sulfur,4 4 4 4 4 4 4 4 4 4,7 2 7 7 9 7 7 7 7 7,7 7 7 7 9 7 7 7 7 7,4 5 5 5 5 5 5 5 5 5,4 4 4 4 4 4 4 4 4 4,2 2 3 3 1 1 0 0 1 1,2 4 1 6 1 4 3 0 0 0,0 1 0 0 1 0 0 0 0 0,5 5 6 6 6 6 6 7 8 10,0885D066B18BE80C,Remote,Remote,River,Wildlands,Jester's Ruse Dice,Scratch,Celestite,5 6 6 6 6 6 6 6 6 6,7 6 4 4 3 2 2 1 9 9,8 8 8 8 8 8 9 9 9 9,4 4 4 4 4 4 4 4 4 4,3 3 3 3 3 3 3 3 3 3,4 4 5 2 5 7 9 9 10 9,4 3 3 3 3 1 1 6 4 3,0 1 2 2 2 5 6 7 7 7,5 7 7 9 9 9 13 14 15 15,01599D9DB208B11A,Local,Local,Oxana,Classic,Winterfall Dice,Feel,Sulfur,5 5 5 5 5 5 5 6 6 6,8 8 8 8 7 5 4 4 4 5,8 8 8 8 8 9 9 9 9 9,4 5 5 5 5 5 5 5 5 5,3 3 3 3 3 3 3 3 3 4,3 7 7 3 3 7 5 5 7 7,1 2 0 1 1 1 1 3 0 1,0 2 4 3 3 5 5 6 6 7,5 7 9 9 9 13 14 15 16 17
